type,name,fullname,category,nomad_cycles,measured_cycles,measured_by,notes
1,Keyboard,Keyboard,In/Out,0.0,0.0,Clavia editor menu,exact (unique integer cost at 1/3148)
2,AudioIn,Audio In,In/Out,2.2,2.1919,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
3,4Output,4 Output,In/Out,2.0625,2.0013,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
4,2Output,2 Output,In/Out,1.40625,1.3977,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
5,1Output,1 Output,In/Out,1.28125,1.3024,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
7,OscA,Multiple Oscillator A,Oscillator,10.8125,11.007,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
8,OscB,Multiple Oscillator B,Oscillator,8.28125,8.291,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
9,OscC,Sine Oscillator,Oscillator,4.96875,4.9873,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
10,OscSlvB,Square/Pulse Slave Oscillator,Oscillator,7.125,7.0997,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
11,OscSlvC,Sawtooth Slave Oscillator,Oscillator,6.0,6.0038,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
12,OscSlvD,Triangle Slave Oscillator,Oscillator,5.875,5.8132,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
13,OscSlvE,Sine Slave Oscillator,Oscillator,3.0625,3.0019,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
14,OscSlvA,Multiple Slave Oscillator,Oscillator,7.625,7.5921,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
15,NoteSeqA,Note Sequencer A,Seqencer,1.4375,1.3977,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
16,PortamentoB,Portamento (Interruptable),Control,0.53125,0.5083,Clavia editor menu,exact (unique integer cost at 1/3148)
17,EventSeq,Event Sequencer,Seqencer,1.65625,1.6995,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
18,X-Fade,Crossfader,Mixer,1.65625,1.6995,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
19,Mixer (3),3 Inputs Mixer,Mixer,0.90625,0.8895,Clavia editor menu,exact (unique integer cost at 1/3148)
20,ADSR,ADSR Envelope,Envelope,1.625,1.5883,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
21,Compressor,Stereo Compressor/Limiter,Audio,8.28125,8.291,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
22,PartialGen,Partial Generator,Control,0.59375,0.5718,Clavia editor menu,exact (unique integer cost at 1/3148)
23,Mod-Env,Modulated Envelope,Envelope,3.34375,3.3037,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
24,LFOA,Multiple LFO (phase),LFO,1.78125,1.8107,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
25,LFOB,Square/Pulse LFO,LFO,1.1875,1.2071,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
26,LFOC,Multiple LFO,LFO,1.46875,1.493,Clavia editor menu,"midpoint, 2 sig figs from Clavia display"
27,LFOSlvB,Sawtooth Slave LFO,LFO,0.375,0.3494,Clavia editor menu,exact (unique integer cost at 1/3148)
28,LFOSlvC,Sine Slave LFO,LFO,0.78125,0.7624,Clavia editor menu,exact (unique integer cost at 1/3148)
29,LFOSlvD,Square/Pulse Slave LFO,LFO,0.375,0.3494,Clavia editor menu,exact (unique integer cost at 1/3148)
